1,8.3
2,7.0
3,6.7
4,5.9
5,6.1
6,8.2
7,6.3
8,5.5
9,5.8
10,7.2
11,6.8
12,5.9
13,7.1
14,7.1
15,5.7
16,8.2
17,7.7
18,6.8
19,6.4
20,5.7
21,6.9
22,6.6
23,6.3
24,6.6
25,7.5
26,6.9
27,6.8
28,8.3
29,7.5
30,7.1
31,6.5
32,8.0
33,6.4
34,6.8
35,6.8
36,7.5
37,6.1
38,5.9
39,6.8
40,6.8
41,7.4
42,6.9
43,6.6
44,5.8
45,6.8
46,6.3
47,8.6
48,6.7
49,6.5
50,8.5
51,4.9
52,7.0
53,7.5
54,5.6
55,6.6
56,4.9
57,6.6
58,4.6
59,7.5
60,6.0
61,6.2
62,7.3
63,6.6
64,5.2
65,4.4
66,2.5
67,6.2
68,6.4
69,7.3
70,7.2
71,4.3
72,6.8
73,7.5
74,6.1
75,4.7
76,6.4
77,7.2
78,6.3
79,5.7
80,7.7
81,6.8
82,7.5
83,7.2
84,5.8
85,6.9
86,6.6
87,5.4
88,6.3
89,6.3
90,6.5
91,6.2
92,5.8
93,4.6
94,7.1
95,6.0
96,7.2
97,8.1
98,5.4
99,6.5
100,6.2
101,7.0
